Height,MINUTES_PLAYED,FIELD_GOALS_MADE,THREE_POINTS_MADE,TWO_POINTS_MADE,FREE_THROWS_MADE,TOTAL_REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,FOULS,POINTS
72,977,245,66,179,115,146,120,47,67,38,55,671
74,933,174,28,146,63,287,72,104,23,23,71,439
73,1000,144,30,114,54,120,168,91,39,23,48,372
69,822,119,71,48,23,81,111,47,24,6,17,332
71,804,146,0,146,104,217,34,66,39,16,90,396
71,848,127,54,73,76,123,71,90,35,9,94,384
73,923,135,2,133,101,194,102,70,26,20,63,373
68,601,31,17,14,46,107,46,30,47,14,47,125
74,871,179,18,161,69,267,22,64,51,21,78,445
73,656,47,1,46,4,94,26,42,20,36,50,99
70,946,123,60,63,58,61,45,64,20,7,33,364
69,724,119,7,112,67,117,77,62,63,8,56,312
68,817,122,16,106,38,132,52,66,93,1,66,298
68,1069,115,28,87,103,81,119,111,26,0,73,361
69,838,109,61,48,108,127,39,53,25,2,62,387
74,844,102,1,101,79,232,37,81,40,22,89,284
75,1021,131,53,78,78,233,54,73,34,14,56,393
67,998,142,26,116,116,104,111,76,42,7,65,426
67,926,87,34,53,25,146,120,58,30,8,55,233
67,989,193,41,152,95,73,84,60,41,15,52,522
70,823,76,58,18,26,107,21,32,24,19,59,236
66,726,105,17,88,32,106,61,72,60,1,50,259
76,340,69,1,68,34,100,29,37,8,34,45,173
75,603,101,0,101,47,198,17,53,36,34,116,249
75,589,92,0,92,50,215,34,53,32,24,77,234
72,942,106,33,73,77,121,54,64,46,5,51,322
71,774,106,12,94,113,195,43,93,35,5,86,337
74,454,51,0,51,15,141,5,37,15,23,58,117
68,857,158,6,152,86,192,77,85,29,9,58,408
69,970,106,67,39,18,92,62,35,74,20,53,297
70,857,137,22,115,71,142,44,62,47,8,76,367
74,689,101,38,63,53,140,38,39,30,24,40,293
77,446,51,0,51,32,156,19,39,30,36,58,134
74,764,157,3,154,116,210,19,63,23,23,87,433
70,923,180,38,142,96,90,51,60,48,3,55,494
68,682,59,7,52,16,42,83,68,36,2,47,141
71,874,154,94,60,83,122,72,66,29,7,66,485
72,675,26,0,26,10,193,19,38,46,14,59,62
67,901,121,48,73,33,93,49,55,49,3,40,323
68,634,80,0,80,26,139,24,53,67,7,58,186
71,1014,136,47,89,43,87,65,44,32,18,44,362
67,1033,129,49,80,110,87,69,59,49,0,45,417
64,982,136,41,95,112,112,122,95,75,0,75,425
71,1007,106,71,35,28,118,75,63,19,12,55,311
74,842,112,9,103,94,165,78,75,22,26,44,327
70,1011,159,52,107,137,153,41,61,74,2,48,507
66,929,132,60,72,44,85,110,65,23,2,71,368
69,730,151,52,99,88,65,29,68,12,2,39,442
65,1008,149,76,73,121,99,29,54,32,6,44,495
72,1171,119,35,84,28,118,117,45,103,28,37,301
71,984,158,35,123,90,268,42,61,30,20,94,441
78,883,183,1,182,99,302,45,61,19,71,57,466
75,736,117,0,117,43,180,17,49,16,44,83,277
67,667,67,4,63,41,88,75,53,54,6,71,179
66,940,203,47,156,141,113,100,81,47,3,61,594
71,737,100,25,75,75,104,73,87,45,11,72,300
73,863,158,11,147,135,258,46,105,50,16,96,462
69,878,110,43,67,57,91,80,65,69,2,58,320
67,740,70,17,53,41,85,78,57,83,4,62,198
67,909,109,23,86,69,113,93,69,35,4,51,310
73,916,175,23,152,77,219,41,62,58,22,67,450
65,1003,154,88,66,27,57,52,44,29,3,32,423
69,888,123,59,64,35,81,43,49,41,5,61,340
66,742,92,53,39,45,113,73,66,45,2,54,282
75,397,43,0,43,10,73,9,43,9,40,72,96
73,750,91,4,87,30,212,50,56,20,11,63,216
73,886,154,60,94,74,172,53,57,17,14,88,442
71,498,61,0,61,5,97,26,24,37,37,69,127
75,853,181,1,180,171,233,50,77,24,26,82,534
71,767,84,6,78,38,130,54,53,50,12,92,212
75,922,199,19,180,87,342,38,57,23,11,77,504
72,929,140,16,124,85,209,61,99,36,9,60,381
68,947,136,71,65,27,77,33,48,24,4,58,370
74,713,80,17,63,48,159,29,52,37,31,85,225
74,833,90,28,62,32,186,34,46,23,29,61,240
62,1046,231,55,176,137,115,211,71,36,4,34,654
66,834,134,30,104,98,147,97,67,55,15,56,396
71,923,157,66,91,40,138,55,65,29,18,59,420
74,662,87,1,86,31,187,26,75,21,20,48,206
70,1058,190,9,181,117,345,145,84,44,25,91,506
66,1135,176,52,124,120,131,150,70,41,4,59,524
72,854,124,24,100,85,223,53,84,39,5,66,357
68,1003,196,31,165,104,182,86,99,89,5,96,527
68,732,83,1,82,53,189,50,55,48,8,78,220
67,859,102,16,86,43,103,68,71,88,5,87,263
75,746,133,4,129,38,219,21,57,20,43,87,308
67,810,104,13,91,97,89,93,77,44,4,75,318
74,1028,126,64,62,70,135,82,65,21,83,58,386
71,1073,160,44,116,60,201,66,56,43,21,62,424
67,906,84,2,82,66,112,130,76,39,3,71,236
73,871,121,28,93,71,227,28,84,17,20,88,341
73,1047,165,3,162,52,289,112,88,53,40,105,385
73,867,96,8,88,37,166,83,62,29,31,58,237
69,924,197,31,166,111,138,89,123,46,2,67,542
65,878,43,23,20,24,57,119,76,11,3,55,133
69,1073,173,88,85,54,92,58,86,54,6,46,488
72,886,135,33,102,72,128,82,91,52,11,62,375
66,535,96,22,74,24,57,48,50,50,3,37,238
71,978,120,55,65,36,227,49,49,36,36,93,331
74,682,68,20,48,23,149,20,28,12,35,48,179
67,824,146,25,121,123,114,156,104,54,3,66,440
70,864,119,3,116,95,226,28,43,42,2,54,336
75,658,93,13,80,29,157,41,60,38,31,59,228
67,801,50,14,36,36,107,99,81,74,15,78,150
73,981,191,0,191,105,346,51,82,47,18,93,487
73,769,129,39,90,73,111,58,50,37,15,50,370
72,972,150,44,106,110,127,48,47,44,13,62,454
69,573,116,9,107,60,143,48,54,82,12,81,301
66,782,147,35,112,77,85,107,85,39,0,58,406
74,467,83,1,82,105,149,41,57,17,21,79,272
73,835,93,8,85,68,250,43,41,35,5,51,262
73,590,70,0,70,33,116,20,45,34,39,74,173
72,869,153,14,139,102,196,66,77,35,17,78,422
68,915,122,69,53,48,99,69,63,32,7,62,361
70,760,78,35,43,44,81,97,82,34,8,47,235
71,634,106,7,99,97,166,14,36,40,31,67,316
77,707,165,0,165,43,221,34,62,21,73,75,373
74,759,23,9,14,33,217,44,42,15,47,71,88
69,746,153,35,118,81,85,57,65,64,5,60,422
75,714,72,0,72,39,229,9,25,25,30,64,183
73,1023,210,11,199,93,321,57,58,83,41,73,524
67,1118,201,71,130,76,66,40,51,23,6,49,549
76,405,60,5,55,27,84,13,30,9,34,29,152
77,481,54,0,54,33,94,21,39,15,42,45,141
73,629,147,3,144,48,172,24,63,24,41,100,345
75,814,238,2,236,101,200,41,74,26,41,67,579
64,925,111,21,90,103,82,132,67,69,0,57,346
67,824,129,64,65,17,136,56,72,51,1,63,339
76,573,44,8,36,9,95,31,32,12,66,56,105
73,831,133,50,83,47,171,117,73,35,28,69,363
71,870,101,0,101,81,318,28,95,39,14,84,283
68,933,131,60,71,49,53,69,93,32,3,59,371
70,1050,114,65,49,39,131,68,53,69,9,43,332
69,1022,182,15,167,121,220,165,124,54,9,69,500
71,1062,144,81,63,56,106,76,73,23,6,75,425
69,928,168,19,149,67,96,136,71,32,10,55,422
68,995,47,32,15,17,57,186,64,36,1,48,143
66,895,139,55,84,43,122,105,110,36,5,60,376
76,771,111,0,111,54,275,40,35,28,58,62,276
73,957,103,57,46,34,170,45,38,18,5,70,297
66,749,61,5,56,32,88,114,60,46,4,58,159
70,857,76,6,70,76,186,182,99,81,5,70,234
73,815,108,58,50,26,140,34,46,19,19,51,300
66,1047,103,56,47,36,96,67,82,51,3,68,298
73,779,248,1,247,82,240,63,52,44,29,71,579
68,1115,165,32,133,157,123,101,77,44,9,78,519
72,913,190,52,138,106,129,57,50,40,14,43,538
67,514,38,10,28,7,87,60,46,59,1,71,93
72,858,132,1,131,33,135,59,63,24,25,63,298
65,1054,149,26,123,114,165,170,83,50,2,54,440
74,960,116,65,51,12,109,27,42,22,21,50,309
73,837,143,24,119,74,207,37,95,37,14,99,384
69,903,172,17,155,83,123,74,110,42,10,52,444
67,1096,191,50,141,154,101,150,136,60,7,74,586
